"","group","error_r","error_r_sd","grouping"
"1","East Asian",0.0314814814814815,0.0352381159627475,"2 category"
"2","English monolingual",0.0226950354609929,0.0433412260128246,"2 category"
"3","Non-Asian Multilingual",0.0524822695035461,0.053523319404971,"2 category"
"4","South Asian",0.0158730158730159,0.0200528402506079,"2 category"
"5","South-east Asian",0.0337777777777778,0.0396071241045773,"2 category"
"6","East Asian",0.212962962962963,0.076677284615617,"5 category"
"7","English monolingual",0.189125295508274,0.0905487938467846,"5 category"
"8","Non-Asian Multilingual",0.303073286052009,0.127355996323567,"5 category"
"9","South Asian",0.171428571428571,0.0617213399848368,"5 category"
"10","South-east Asian",0.230222222222222,0.135761834549201,"5 category"
"11","East Asian",0.550925925925926,0.0998074725653799,"15 category"
"12","English monolingual",0.520094562647754,0.0920523520756759,"15 category"
"13","Non-Asian Multilingual",0.623640661938534,0.101349377418653,"15 category"
"14","South Asian",0.562962962962963,0.122994195051884,"15 category"
"15","South-east Asian",0.566222222222222,0.114057237814802,"15 category"
